comuna,fallecidos
Lautaro,3
Loncoche,1
Lonquimay,2
Los Sauces,0
Lumaco,0
Melipeuco,0
Nueva Imperial,4
Padre Las Casas,6
Perquenco,0
Pitrufquén,0
Pucón,0
Purén,1
Renaico,2
Saavedra,0
Temuco,28
Teodoro Schmidt,1
Toltén,1
Traiguén,0
Victoria,7
Vilcún,3
Villarrica,1
Corral,0
Futrono,0
La Unión,3
Lago Ranco,0
Lanco,0
Los Lagos,1
Máfil,0
Mariquina,0
Paillaco,1
Panguipulli,1
Río Bueno,0
Valdivia,7
Ancud,2
Calbuco,4
Castro,0
Chaitén,0
Chonchi,0
Cochamó,0
Curaco de Vélez,0
Dalcahue,1
Fresia,2
Frutillar,0
Futaleufú,0
Hualaihué,1
Llanquihue,1
Los Muermos,0
Maullín,0
Osorno,18
Palena,0
Puerto Montt,19
Puerto Octay,0
Puerto Varas,3
Puqueldón,0
Purranque,2
Puyehue,0
Queilén,0
Quellón,0
Quemchi,0
Quinchao,0
Río Negro,2
San Juan de la Costa,3
San Pablo,1
Aisén,0
Chile Chico,0
Cisnes,0
Cochrane,0
Coyhaique,0
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,0
Laguna Blanca,0
Natales,0
Porvenir,0
Primavera,0
Punta Arenas,30
Río Verde,0
San Gregorio,0
Timaukel,0
Torres del Paine,0
