comuna,confirmados
Chimbarongo,138
Codegua,135
Coinco,89
Coltauco,122
Doñihue,307
Graneros,389
La Estrella,31
Las Cabras,160
Litueche,73
Lolol,45
Machalí,835
Malloa,72
Marchihue,17
Mostazal,202
Nancagua,79
Navidad,71
Olivar,173
Palmilla,33
Paredones,14
Peralillo,49
Peumo,37
Pichidegua,111
Pichilemu,48
Placilla,52
Pumanque,4
Quinta de Tilcoco,78
Rancagua,4948
Rengo,747
Requínoa,316
San Fernando,313
San Vicente,306
Santa Cruz,133
Cauquenes,348
Chanco,34
Colbún,146
Constitución,230
Curepto,39
Curicó,1688
Empedrado,27
Hualañé,113
Licantén,20
Linares,534
Longaví,235
Maule,325
Molina,217
Parral,243
Pelarco,53
Pelluhue,60
Pencahue,50
Rauco,69
Retiro,130
Río Claro,74
Romeral,222
Sagrada Familia,83
San Clemente,417
San Javier,314
San Rafael,118
Talca,1635
Teno,166
Vichuquén,1
Villa Alegre,88
Yerbas Buenas,101
Bulnes,308
Chillán,1493
Chillán Viejo,240
Cobquecura,1
Coelemu,70
Coihueco,153
El Carmen,86
Ninhue,41
Ñiquén,72
Pemuco,95
Pinto,54
Portezuelo,15
Quillón,164
Quirihue,57
Ránquil,29
San Carlos,432
San Fabián,10
San Ignacio,157
San Nicolás,96
Treguaco,5
Yungay,107
Alto Biobío,167
Antuco,52
Arauco,286
Cabrero,129
Cañete,39
Chiguayante,431
Concepción,1424
Contulmo,43
Coronel,1094
Curanilahue,124
Florida,36
Hualpén,617
Hualqui,171
Laja,149
Lebu,32
Los Álamos,99
Los Ángeles,933
Lota,342
Mulchén,104
Nacimiento,154
Negrete,119
Penco,356
Quilaco,12
Quilleco,36
San Pedro de la Paz,723
San Rosendo,30
Santa Bárbara,110
Santa Juana,73
Talcahuano,902
Tirúa,30
Tomé,333
Tucapel,138
Yumbel,188
Angol,418
Carahue,85
Cholchol,31
Collipulli,68
Cunco,64
Curacautín,25
Curarrehue,4
Ercilla,23
Freire,112
Galvarino,133
Gorbea,39
Lautaro,124
Loncoche,83
Lonquimay,70
Los Sauces,21
Lumaco,41
Melipeuco,11
Nueva Imperial,127
Padre Las Casas,203
Perquenco,40
Pitrufquén,93
Pucón,72
Purén,26
Renaico,52
Saavedra,99
Temuco,1052
Teodoro Schmidt,31
Toltén,18
Traiguén,49
Victoria,174
Vilcún,125
Villarrica,100
Corral,26
Futrono,61
La Unión,89
Lago Ranco,7
Lanco,27
Los Lagos,63
Máfil,20
Mariquina,21
Paillaco,33
Panguipulli,63
Río Bueno,29
Valdivia,350
Ancud,100
Calbuco,128
Castro,10
Chaitén,10
Chonchi,1
Cochamó,8
Curaco de Vélez,18
Dalcahue,7
Fresia,20
Frutillar,138
Futaleufú,1
Hualaihué,12
Llanquihue,76
Los Muermos,40
Maullín,41
Osorno,564
Palena,0
Puerto Montt,955
Puerto Octay,9
Puerto Varas,98
Puqueldón,0
Purranque,83
Puyehue,16
Queilén,0
Quellón,6
Quemchi,14
Quinchao,2
Río Negro,46
San Juan de la Costa,42
San Pablo,15
Aisén,25
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,29
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,22
Laguna Blanca,0
Natales,51
Porvenir,10
Primavera,1
Punta Arenas,1431
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,0
