comuna,confirmados
Ñiquén,87
Pemuco,102
Pinto,66
Portezuelo,22
Quillón,178
Quirihue,62
Ránquil,44
San Carlos,489
San Fabián,13
San Ignacio,173
San Nicolás,114
Treguaco,6
Yungay,130
Alto Biobío,171
Antuco,60
Arauco,352
Cabrero,144
Cañete,102
Chiguayante,560
Concepción,1694
Contulmo,46
Coronel,1309
Curanilahue,192
Florida,59
Hualpén,733
Hualqui,206
Laja,175
Lebu,43
Los Álamos,132
Los Ángeles,1120
Lota,405
Mulchén,128
Nacimiento,163
Negrete,132
Penco,425
Quilaco,16
Quilleco,48
San Pedro de la Paz,892
San Rosendo,34
Santa Bárbara,137
Santa Juana,86
Talcahuano,1206
Tirúa,31
Tomé,384
Tucapel,149
Yumbel,203
Angol,464
Carahue,94
Cholchol,36
Collipulli,70
Cunco,83
Curacautín,31
Curarrehue,4
Ercilla,42
Freire,122
Galvarino,133
Gorbea,38
Lautaro,156
Loncoche,83
Lonquimay,71
Los Sauces,23
Lumaco,42
Melipeuco,11
Nueva Imperial,131
Padre Las Casas,218
Perquenco,44
Pitrufquén,99
Pucón,79
Purén,38
Renaico,57
Saavedra,99
Temuco,1150
Teodoro Schmidt,31
Toltén,17
Traiguén,53
Victoria,197
Vilcún,141
Villarrica,105
Corral,26
Futrono,61
La Unión,101
Lago Ranco,7
Lanco,28
Los Lagos,63
Máfil,29
Mariquina,36
Paillaco,37
Panguipulli,65
Río Bueno,34
Valdivia,425
Ancud,111
Calbuco,179
Castro,23
Chaitén,11
Chonchi,1
Cochamó,13
Curaco de Vélez,18
Dalcahue,7
Fresia,37
Frutillar,149
Futaleufú,1
Hualaihué,20
Llanquihue,105
Los Muermos,53
Maullín,63
Osorno,678
Palena,0
Puerto Montt,1722
Puerto Octay,9
Puerto Varas,137
Puqueldón,0
Purranque,90
Puyehue,19
Queilén,0
Quellón,7
Quemchi,14
Quinchao,2
Río Negro,52
San Juan de la Costa,43
San Pablo,16
Aisén,41
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,30
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,22
Laguna Blanca,0
Natales,52
Porvenir,10
Primavera,1
Punta Arenas,1530
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,0
