comuna,fallecidos
San Bernardo,244
San Joaquín,113
San José de Maipo,16
San Miguel,95
San Pedro,3
San Ramón,124
Santiago,222
Talagante,42
Tiltil,9
Vitacura,47
Chépica,1
Chimbarongo,3
Codegua,2
Coinco,3
Coltauco,3
Doñihue,3
Graneros,3
La Estrella,0
Las Cabras,2
Litueche,1
Lolol,0
Machalí,7
Malloa,2
Marchihue,0
Mostazal,3
Nancagua,2
Navidad,0
Olivar,2
Palmilla,2
Paredones,0
Peralillo,1
Peumo,3
Pichidegua,3
Pichilemu,0
Placilla,0
Pumanque,0
Quinta de Tilcoco,1
Rancagua,42
Rengo,2
Requínoa,3
San Fernando,5
San Vicente,6
Santa Cruz,2
Cauquenes,5
Chanco,0
Colbún,0
Constitución,3
Curepto,2
Curicó,17
Empedrado,0
Hualañé,2
Licantén,1
Linares,7
Longaví,2
Maule,0
Molina,5
Parral,1
Pelarco,1
Pelluhue,1
Pencahue,0
Rauco,0
Retiro,0
Río Claro,3
Romeral,2
Sagrada Familia,0
San Clemente,4
San Javier,4
San Rafael,0
Talca,11
Teno,3
Vichuquén,0
Villa Alegre,1
Yerbas Buenas,3
Bulnes,5
Chillán,13
Chillán Viejo,1
Cobquecura,0
Coelemu,1
Coihueco,4
El Carmen,2
Ninhue,3
Ñiquén,2
Pemuco,0
Pinto,0
Portezuelo,0
Quillón,3
Quirihue,1
Ránquil,0
San Carlos,4
San Fabián,0
San Ignacio,2
San Nicolás,1
Treguaco,0
Yungay,0
Alto Biobío,0
Antuco,0
Arauco,1
Cabrero,0
Cañete,0
Chiguayante,8
Concepción,23
Contulmo,0
Coronel,3
Curanilahue,1
Florida,2
Hualpén,3
Hualqui,3
Laja,0
Lebu,0
Los Álamos,0
Los Ángeles,3
Lota,2
Mulchén,0
Nacimiento,3
Negrete,1
Penco,1
Quilaco,0
Quilleco,1
San Pedro de la Paz,9
San Rosendo,1
Santa Bárbara,0
Santa Juana,3
Talcahuano,3
Tirúa,0
Tomé,1
Tucapel,0
Yumbel,1
Angol,9
Carahue,0
Cholchol,0
Collipulli,3
Cunco,2
Curacautín,1
Curarrehue,1
Ercilla,0
Freire,1
Galvarino,0
Gorbea,1
Lautaro,2
Loncoche,2
Lonquimay,2
Los Sauces,0
Lumaco,0
Melipeuco,0
Nueva Imperial,2
Padre Las Casas,5
Perquenco,0
Pitrufquén,0
Pucón,0
Purén,1
Renaico,1
Saavedra,0
Temuco,23
Teodoro Schmidt,0
Toltén,0
Traiguén,0
Victoria,6
Vilcún,2
Villarrica,0
Corral,0
Futrono,0
La Unión,2
Lago Ranco,0
Lanco,0
Los Lagos,1
Máfil,0
Mariquina,0
Paillaco,0
Panguipulli,1
Río Bueno,0
Valdivia,6
Ancud,1
Calbuco,1
Castro,0
Chaitén,0
Chonchi,0
Cochamó,0
Curaco de Vélez,0
Dalcahue,0
Fresia,0
Frutillar,0
Futaleufú,0
Hualaihué,0
Llanquihue,1
Los Muermos,0
Maullín,0
Osorno,12
Palena,0
Puerto Montt,4
Puerto Octay,0
Puerto Varas,1
Puqueldón,0
Purranque,0
Puyehue,0
Queilén,0
Quellón,0
Quemchi,0
Quinchao,0
Río Negro,0
San Juan de la Costa,2
San Pablo,1
Aisén,0
Chile Chico,0
Cisnes,0
Cochrane,0
Coyhaique,0
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,0
Laguna Blanca,0
Natales,0
Porvenir,0
Primavera,0
Punta Arenas,23
Río Verde,0
San Gregorio,0
Timaukel,0
Torres del Paine,0
