comuna,fallecidos
Peumo,3
Pichidegua,3
Pichilemu,0
Placilla,0
Pumanque,0
Quinta de Tilcoco,3
Rancagua,72
Rengo,5
Requínoa,5
San Fernando,6
San Vicente,7
Santa Cruz,3
Cauquenes,7
Chanco,0
Colbún,0
Constitución,3
Curepto,2
Curicó,27
Empedrado,0
Hualañé,2
Licantén,1
Linares,7
Longaví,2
Maule,2
Molina,8
Parral,2
Pelarco,1
Pelluhue,2
Pencahue,0
Rauco,0
Retiro,0
Río Claro,5
Romeral,3
Sagrada Familia,1
San Clemente,4
San Javier,9
San Rafael,0
Talca,23
Teno,3
Vichuquén,0
Villa Alegre,2
Yerbas Buenas,5
Bulnes,5
Chillán,15
Chillán Viejo,1
Cobquecura,0
Coelemu,2
Coihueco,4
El Carmen,2
Ninhue,3
Ñiquén,2
Pemuco,2
Pinto,0
Portezuelo,0
Quillón,4
Quirihue,1
Ránquil,0
San Carlos,4
San Fabián,0
San Ignacio,3
San Nicolás,2
Treguaco,1
Yungay,0
Alto Biobío,0
Antuco,1
Arauco,1
Cabrero,1
Cañete,0
Chiguayante,10
Concepción,26
Contulmo,0
Coronel,4
Curanilahue,1
Florida,3
Hualpén,3
Hualqui,3
Laja,0
Lebu,0
Los Álamos,0
Los Ángeles,5
Lota,2
Mulchén,0
Nacimiento,3
Negrete,2
Penco,1
Quilaco,0
Quilleco,1
San Pedro de la Paz,14
San Rosendo,1
Santa Bárbara,0
Santa Juana,4
Talcahuano,7
Tirúa,0
Tomé,1
Tucapel,1
Yumbel,1
Angol,9
Carahue,0
Cholchol,0
Collipulli,3
Cunco,2
Curacautín,1
Curarrehue,1
Ercilla,0
Freire,1
Galvarino,0
Gorbea,1
Lautaro,2
Loncoche,2
Lonquimay,2
Los Sauces,0
Lumaco,0
Melipeuco,0
Nueva Imperial,2
Padre Las Casas,5
Perquenco,0
Pitrufquén,0
Pucón,0
Purén,1
Renaico,1
Saavedra,0
Temuco,24
Teodoro Schmidt,0
Toltén,0
Traiguén,0
Victoria,7
Vilcún,2
Villarrica,0
Corral,0
Futrono,0
La Unión,3
Lago Ranco,0
Lanco,0
Los Lagos,1
Máfil,0
Mariquina,0
Paillaco,1
Panguipulli,1
Río Bueno,0
Valdivia,6
Ancud,1
Calbuco,1
Castro,0
Chaitén,0
Chonchi,0
Cochamó,0
Curaco de Vélez,0
Dalcahue,1
Fresia,1
Frutillar,0
Futaleufú,0
Hualaihué,0
Llanquihue,1
Los Muermos,0
Maullín,0
Osorno,12
Palena,0
Puerto Montt,7
Puerto Octay,0
Puerto Varas,1
Puqueldón,0
Purranque,0
Puyehue,0
Queilén,0
Quellón,0
Quemchi,0
Quinchao,0
Río Negro,0
San Juan de la Costa,2
San Pablo,1
Aisén,0
Chile Chico,0
Cisnes,0
Cochrane,0
Coyhaique,0
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,0
Laguna Blanca,0
Natales,0
Porvenir,0
Primavera,0
Punta Arenas,28
Río Verde,0
San Gregorio,0
Timaukel,0
Torres del Paine,0
