comuna,confirmados
Purranque,146
Puyehue,44
Queilén,0
Quellón,7
Quemchi,14
Quinchao,3
Río Negro,74
San Juan de la Costa,63
San Pablo,30
Aisén,59
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,37
Guaitecas,1
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,23
Laguna Blanca,0
Natales,62
Porvenir,29
Primavera,3
Punta Arenas,2443
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,0
