comuna,confirmados
Empedrado,0
Hualañé,21
Licantén,2
Linares,84
Longaví,31
Maule,52
Molina,23
Parral,72
Pelarco,21
Pelluhue,10
Pencahue,12
Rauco,12
Retiro,19
Río Claro,16
Romeral,32
Sagrada Familia,6
San Clemente,60
San Javier,54
San Rafael,48
Talca,329
Teno,12
Vichuquén,0
Villa Alegre,6
Yerbas Buenas,28
Bulnes,178
Chillán,601
Chillán Viejo,100
Cobquecura,0
Coelemu,21
Coihueco,53
El Carmen,17
Ninhue,10
Ñiquén,11
Pemuco,11
Pinto,15
Portezuelo,7
Quillón,55
Quirihue,20
Ránquil,10
San Carlos,71
San Fabián,8
San Ignacio,26
San Nicolás,26
Treguaco,1
Yungay,62
Alto Biobío,88
Antuco,16
Arauco,63
Cabrero,29
Cañete,14
Chiguayante,108
Concepción,321
Contulmo,0
Coronel,159
Curanilahue,7
Florida,5
Hualpén,159
Hualqui,43
Laja,62
Lebu,3
Los Álamos,2
Los Ángeles,236
Lota,54
Mulchén,20
Nacimiento,37
Negrete,39
Penco,37
Quilaco,0
Quilleco,2
San Pedro de la Paz,197
San Rosendo,2
Santa Bárbara,34
Santa Juana,3
Talcahuano,206
Tirúa,4
Tomé,85
Tucapel,12
Yumbel,27
Angol,157
Carahue,53
Cholchol,7
Collipulli,29
Cunco,29
Curacautín,8
Curarrehue,4
Ercilla,16
Freire,66
Galvarino,17
Gorbea,20
Lautaro,78
Loncoche,41
Lonquimay,61
Los Sauces,2
Lumaco,11
Melipeuco,5
Nueva Imperial,55
Padre Las Casas,154
Perquenco,5
Pitrufquén,47
Pucón,36
Purén,9
Renaico,25
Saavedra,87
Temuco,830
Teodoro Schmidt,10
Toltén,16
Traiguén,9
Victoria,93
Vilcún,91
Villarrica,31
Corral,13
Futrono,34
La Unión,44
Lago Ranco,2
Lanco,9
Los Lagos,22
Máfil,3
Mariquina,16
Paillaco,25
Panguipulli,12
Río Bueno,16
Valdivia,174
Ancud,84
Calbuco,8
Castro,8
Chaitén,1
Chonchi,0
Cochamó,1
Curaco de Vélez,0
Dalcahue,6
Fresia,0
Frutillar,12
Futaleufú,1
Hualaihué,3
Llanquihue,6
Los Muermos,2
Maullín,15
Osorno,369
Palena,0
Puerto Montt,133
Puerto Octay,5
Puerto Varas,18
Puqueldón,0
Purranque,62
Puyehue,9
Queilén,0
Quellón,1
Quemchi,13
Quinchao,1
Río Negro,32
San Juan de la Costa,34
San Pablo,12
Aisén,4
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,8
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,22
Laguna Blanca,0
Natales,13
Porvenir,9
Primavera,1
Punta Arenas,1009
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,0
