comuna,confirmados
Santa Juana,21
Talcahuano,313
Tirúa,8
Tomé,145
Tucapel,50
Yumbel,44
Angol,262
Carahue,69
Cholchol,24
Collipulli,41
Cunco,49
Curacautín,18
Curarrehue,4
Ercilla,18
Freire,95
Galvarino,97
Gorbea,33
Lautaro,102
Loncoche,49
Lonquimay,66
Los Sauces,7
Lumaco,15
Melipeuco,8
Nueva Imperial,89
Padre Las Casas,168
Perquenco,15
Pitrufquén,70
Pucón,60
Purén,9
Renaico,29
Saavedra,95
Temuco,871
Teodoro Schmidt,11
Toltén,16
Traiguén,28
Victoria,153
Vilcún,102
Villarrica,49
Corral,22
Futrono,53
La Unión,66
Lago Ranco,2
Lanco,21
Los Lagos,57
Máfil,17
Mariquina,16
Paillaco,25
Panguipulli,33
Río Bueno,18
Valdivia,209
Ancud,93
Calbuco,10
Castro,9
Chaitén,1
Chonchi,0
Cochamó,1
Curaco de Vélez,0
Dalcahue,7
Fresia,2
Frutillar,15
Futaleufú,1
Hualaihué,4
Llanquihue,9
Los Muermos,3
Maullín,15
Osorno,419
Palena,0
Puerto Montt,303
Puerto Octay,5
Puerto Varas,53
Puqueldón,0
Purranque,68
Puyehue,11
Queilén,0
Quellón,1
Quemchi,14
Quinchao,2
Río Negro,32
San Juan de la Costa,42
San Pablo,12
Aisén,6
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,15
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,21
Laguna Blanca,0
Natales,15
Porvenir,9
Primavera,2
Punta Arenas,1136
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,0
