comuna,fallecidos
Litueche,2
Lolol,2
Machalí,13
Malloa,5
Marchihue,0
Mostazal,6
Nancagua,3
Navidad,2
Olivar,4
Palmilla,4
Paredones,2
Peralillo,1
Peumo,7
Pichidegua,5
Pichilemu,0
Placilla,0
Pumanque,1
Quinta de Tilcoco,4
Rancagua,131
Rengo,31
Requínoa,10
San Fernando,9
San Vicente,12
Santa Cruz,7
Cauquenes,10
Chanco,1
Colbún,1
Constitución,6
Curepto,4
Curicó,61
Empedrado,0
Hualañé,2
Licantén,3
Linares,20
Longaví,3
Maule,5
Molina,13
Parral,3
Pelarco,3
Pelluhue,3
Pencahue,0
Rauco,1
Retiro,0
Río Claro,6
Romeral,6
Sagrada Familia,1
San Clemente,11
San Javier,13
San Rafael,0
Talca,41
Teno,5
Vichuquén,1
Villa Alegre,4
Yerbas Buenas,6
Bulnes,8
Chillán,20
Chillán Viejo,2
Cobquecura,0
Coelemu,3
Coihueco,5
El Carmen,3
Ninhue,3
Ñiquén,4
Pemuco,3
Pinto,0
Portezuelo,1
Quillón,4
Quirihue,2
Ránquil,0
San Carlos,6
San Fabián,0
San Ignacio,6
San Nicolás,3
Treguaco,1
Yungay,1
Alto Biobío,0
Antuco,1
Arauco,3
Cabrero,2
Cañete,1
Chiguayante,12
Concepción,33
Contulmo,0
Coronel,9
Curanilahue,2
Florida,3
Hualpén,16
Hualqui,6
Laja,0
Lebu,0
Los Álamos,1
Los Ángeles,15
Lota,2
Mulchén,0
Nacimiento,4
Negrete,2
Penco,6
Quilaco,0
Quilleco,1
San Pedro de la Paz,19
San Rosendo,1
Santa Bárbara,4
Santa Juana,4
Talcahuano,20
Tirúa,0
Tomé,2
Tucapel,2
Yumbel,1
Angol,10
Carahue,0
Cholchol,0
Collipulli,3
Cunco,2
Curacautín,1
Curarrehue,1
Ercilla,2
Freire,1
Galvarino,0
Gorbea,1
Lautaro,3
Loncoche,1
Lonquimay,2
Los Sauces,0
Lumaco,0
Melipeuco,0
Nueva Imperial,4
Padre Las Casas,6
Perquenco,0
Pitrufquén,0
Pucón,0
Purén,1
Renaico,2
Saavedra,0
Temuco,29
Teodoro Schmidt,1
Toltén,1
Traiguén,0
Victoria,7
Vilcún,3
Villarrica,1
Corral,0
Futrono,0
La Unión,3
Lago Ranco,0
Lanco,0
Los Lagos,1
Máfil,0
Mariquina,0
Paillaco,1
Panguipulli,1
Río Bueno,0
Valdivia,7
Ancud,2
Calbuco,4
Castro,0
Chaitén,0
Chonchi,0
Cochamó,0
Curaco de Vélez,0
Dalcahue,1
Fresia,2
Frutillar,0
Futaleufú,0
Hualaihué,1
Llanquihue,1
Los Muermos,0
Maullín,1
Osorno,19
Palena,0
Puerto Montt,19
Puerto Octay,0
Puerto Varas,3
Puqueldón,0
Purranque,3
Puyehue,0
Queilén,0
Quellón,0
Quemchi,0
Quinchao,0
Río Negro,2
San Juan de la Costa,3
San Pablo,2
Aisén,0
Chile Chico,0
Cisnes,0
Cochrane,0
Coyhaique,0
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,0
Laguna Blanca,0
Natales,0
Porvenir,0
Primavera,0
Punta Arenas,32
Río Verde,0
San Gregorio,0
Timaukel,0
Torres del Paine,0
