comuna,confirmados
San Joaquín,3449
San José de Maipo,430
San Miguel,3644
San Pedro,109
San Ramón,3318
Santiago,11123
Talagante,826
Tiltil,351
Vitacura,1107
Chépica,37
Chimbarongo,57
Codegua,39
Coinco,36
Coltauco,51
Doñihue,93
Graneros,153
La Estrella,11
Las Cabras,40
Litueche,36
Lolol,24
Machalí,218
Malloa,23
Marchihue,12
Mostazal,88
Nancagua,49
Navidad,42
Olivar,60
Palmilla,15
Paredones,9
Peralillo,36
Peumo,15
Pichidegua,24
Pichilemu,21
Placilla,29
Pumanque,3
Quinta de Tilcoco,14
Rancagua,1721
Rengo,190
Requínoa,98
San Fernando,111
San Vicente,122
Santa Cruz,65
Cauquenes,216
Chanco,17
Colbún,84
Constitución,81
Curepto,15
Curicó,998
Empedrado,7
Hualañé,102
Licantén,13
Linares,224
Longaví,137
Maule,146
Molina,83
Parral,172
Pelarco,34
Pelluhue,47
Pencahue,23
Rauco,35
Retiro,100
Río Claro,28
Romeral,104
Sagrada Familia,38
San Clemente,158
San Javier,164
San Rafael,79
Talca,762
Teno,57
Vichuquén,0
Villa Alegre,42
Yerbas Buenas,87
Bulnes,236
Chillán,930
Chillán Viejo,169
Cobquecura,0
Coelemu,50
Coihueco,73
El Carmen,51
Ninhue,19
Ñiquén,60
Pemuco,49
Pinto,26
Portezuelo,7
Quillón,116
Quirihue,25
Ránquil,18
San Carlos,266
San Fabián,9
San Ignacio,110
San Nicolás,54
Treguaco,3
Yungay,76
Alto Biobío,151
Antuco,26
Arauco,134
Cabrero,123
Cañete,24
Chiguayante,226
Concepción,767
Contulmo,4
Coronel,514
Curanilahue,31
Florida,9
Hualpén,262
Hualqui,79
Laja,84
Lebu,20
Los Álamos,17
Los Ángeles,468
Lota,122
Mulchén,29
Nacimiento,66
Negrete,73
Penco,167
Quilaco,6
Quilleco,7
San Pedro de la Paz,388
San Rosendo,12
Santa Bárbara,72
Santa Juana,45
Talcahuano,422
Tirúa,14
Tomé,215
Tucapel,67
Yumbel,57
Angol,292
Carahue,70
Cholchol,25
Collipulli,45
Cunco,49
Curacautín,23
Curarrehue,4
Ercilla,20
Freire,104
Galvarino,113
Gorbea,38
Lautaro,108
Loncoche,66
Lonquimay,69
Los Sauces,8
Lumaco,28
Melipeuco,8
Nueva Imperial,100
Padre Las Casas,176
Perquenco,16
Pitrufquén,74
Pucón,69
Purén,14
Renaico,32
Saavedra,99
Temuco,897
Teodoro Schmidt,24
Toltén,17
Traiguén,36
Victoria,165
Vilcún,105
Villarrica,58
Corral,22
Futrono,56
La Unión,76
Lago Ranco,2
Lanco,23
Los Lagos,59
Máfil,20
Mariquina,19
Paillaco,26
Panguipulli,36
Río Bueno,19
Valdivia,243
Ancud,94
Calbuco,11
Castro,9
Chaitén,1
Chonchi,0
Cochamó,1
Curaco de Vélez,0
Dalcahue,7
Fresia,9
Frutillar,20
Futaleufú,1
Hualaihué,5
Llanquihue,28
Los Muermos,4
Maullín,17
Osorno,451
Palena,0
Puerto Montt,356
Puerto Octay,5
Puerto Varas,61
Puqueldón,0
Purranque,68
Puyehue,13
Queilén,0
Quellón,1
Quemchi,14
Quinchao,2
Río Negro,33
San Juan de la Costa,42
San Pablo,12
Aisén,8
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,15
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,21
Laguna Blanca,0
Natales,15
Porvenir,10
Primavera,2
Punta Arenas,1203
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,0
