comuna,fallecidos
Bulnes,8
Chillán,18
Chillán Viejo,2
Cobquecura,0
Coelemu,3
Coihueco,4
El Carmen,3
Ninhue,3
Ñiquén,3
Pemuco,2
Pinto,0
Portezuelo,0
Quillón,4
Quirihue,2
Ránquil,0
San Carlos,6
San Fabián,0
San Ignacio,5
San Nicolás,3
Treguaco,1
Yungay,1
Alto Biobío,0
Antuco,1
Arauco,3
Cabrero,2
Cañete,0
Chiguayante,11
Concepción,30
Contulmo,0
Coronel,7
Curanilahue,1
Florida,3
Hualpén,9
Hualqui,3
Laja,0
Lebu,0
Los Álamos,0
Los Ángeles,10
Lota,2
Mulchén,0
Nacimiento,4
Negrete,2
Penco,4
Quilaco,0
Quilleco,1
San Pedro de la Paz,17
San Rosendo,1
Santa Bárbara,2
Santa Juana,4
Talcahuano,14
Tirúa,0
Tomé,1
Tucapel,1
Yumbel,1
Angol,10
Carahue,0
Cholchol,0
Collipulli,3
Cunco,2
Curacautín,1
Curarrehue,1
Ercilla,1
Freire,1
Galvarino,0
Gorbea,1
Lautaro,3
Loncoche,1
Lonquimay,2
Los Sauces,0
Lumaco,0
Melipeuco,0
Nueva Imperial,3
Padre Las Casas,5
Perquenco,0
Pitrufquén,0
Pucón,0
Purén,1
Renaico,1
Saavedra,0
Temuco,27
Teodoro Schmidt,1
Toltén,0
Traiguén,0
Victoria,7
Vilcún,3
Villarrica,1
Corral,0
Futrono,0
La Unión,3
Lago Ranco,0
Lanco,0
Los Lagos,1
Máfil,0
Mariquina,0
Paillaco,1
Panguipulli,1
Río Bueno,0
Valdivia,7
Ancud,2
Calbuco,3
Castro,0
Chaitén,0
Chonchi,0
Cochamó,0
Curaco de Vélez,0
Dalcahue,1
Fresia,2
Frutillar,0
Futaleufú,0
Hualaihué,1
Llanquihue,1
Los Muermos,0
Maullín,0
Osorno,18
Palena,0
Puerto Montt,15
Puerto Octay,0
Puerto Varas,3
Puqueldón,0
Purranque,1
Puyehue,0
Queilén,0
Quellón,0
Quemchi,0
Quinchao,0
Río Negro,1
San Juan de la Costa,3
San Pablo,1
Aisén,0
Chile Chico,0
Cisnes,0
Cochrane,0
Coyhaique,0
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,0
Laguna Blanca,0
Natales,0
Porvenir,0
Primavera,0
Punta Arenas,30
Río Verde,0
San Gregorio,0
Timaukel,0
Torres del Paine,0
