comuna,confirmados
Carahue,88
Cholchol,36
Collipulli,69
Cunco,82
Curacautín,31
Curarrehue,4
Ercilla,30
Freire,119
Galvarino,133
Gorbea,38
Lautaro,150
Loncoche,83
Lonquimay,71
Los Sauces,22
Lumaco,42
Melipeuco,11
Nueva Imperial,130
Padre Las Casas,215
Perquenco,43
Pitrufquén,97
Pucón,79
Purén,38
Renaico,53
Saavedra,99
Temuco,1121
Teodoro Schmidt,31
Toltén,17
Traiguén,51
Victoria,190
Vilcún,134
Villarrica,103
Corral,26
Futrono,61
La Unión,99
Lago Ranco,7
Lanco,28
Los Lagos,63
Máfil,20
Mariquina,36
Paillaco,34
Panguipulli,65
Río Bueno,32
Valdivia,415
Ancud,106
Calbuco,169
Castro,14
Chaitén,11
Chonchi,1
Cochamó,13
Curaco de Vélez,18
Dalcahue,7
Fresia,28
Frutillar,145
Futaleufú,1
Hualaihué,20
Llanquihue,79
Los Muermos,47
Maullín,57
Osorno,634
Palena,0
Puerto Montt,1467
Puerto Octay,9
Puerto Varas,127
Puqueldón,0
Purranque,90
Puyehue,19
Queilén,1
Quellón,6
Quemchi,14
Quinchao,4
Río Negro,51
San Juan de la Costa,43
San Pablo,15
Aisén,36
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,30
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,22
Laguna Blanca,0
Natales,52
Porvenir,10
Primavera,1
Punta Arenas,1506
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,0
