comuna,confirmados
Pemuco,16
Pinto,17
Portezuelo,7
Quillón,76
Quirihue,21
Ránquil,10
San Carlos,113
San Fabián,8
San Ignacio,33
San Nicolás,35
Treguaco,2
Yungay,67
Alto Biobío,120
Antuco,19
Arauco,75
Cabrero,34
Cañete,20
Chiguayante,126
Concepción,385
Contulmo,1
Coronel,216
Curanilahue,13
Florida,5
Hualpén,184
Hualqui,50
Laja,67
Lebu,8
Los Álamos,3
Los Ángeles,327
Lota,70
Mulchén,24
Nacimiento,42
Negrete,43
Penco,63
Quilaco,3
Quilleco,5
San Pedro de la Paz,236
San Rosendo,5
Santa Bárbara,43
Santa Juana,8
Talcahuano,262
Tirúa,4
Tomé,107
Tucapel,35
Yumbel,35
Angol,185
Carahue,69
Cholchol,22
Collipulli,34
Cunco,39
Curacautín,8
Curarrehue,4
Ercilla,16
Freire,81
Galvarino,61
Gorbea,25
Lautaro,94
Loncoche,46
Lonquimay,64
Los Sauces,6
Lumaco,14
Melipeuco,8
Nueva Imperial,64
Padre Las Casas,165
Perquenco,11
Pitrufquén,63
Pucón,52
Purén,9
Renaico,26
Saavedra,91
Temuco,849
Teodoro Schmidt,10
Toltén,16
Traiguén,19
Victoria,120
Vilcún,96
Villarrica,35
Corral,18
Futrono,43
La Unión,52
Lago Ranco,2
Lanco,10
Los Lagos,24
Máfil,3
Mariquina,16
Paillaco,25
Panguipulli,33
Río Bueno,18
Valdivia,189
Ancud,86
Calbuco,8
Castro,8
Chaitén,1
Chonchi,0
Cochamó,1
Curaco de Vélez,0
Dalcahue,6
Fresia,0
Frutillar,12
Futaleufú,1
Hualaihué,4
Llanquihue,6
Los Muermos,2
Maullín,15
Osorno,399
Palena,0
Puerto Montt,213
Puerto Octay,5
Puerto Varas,37
Puqueldón,0
Purranque,68
Puyehue,11
Queilén,0
Quellón,1
Quemchi,14
Quinchao,1
Río Negro,32
San Juan de la Costa,34
San Pablo,12
Aisén,4
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,12
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,21
Laguna Blanca,0
Natales,14
Porvenir,9
Primavera,1
Punta Arenas,1039
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,0
