comuna,2020-04-12,2020-04-14,2020-04-16,2020-04-19,2020-04-23,2020-04-26,2020-04-30,2020-05-04,2020-05-07,2020-05-10,2020-05-14,2020-05-17,2020-05-21,2020-05-24,2020-05-28,2020-05-31,2020-06-04,2020-06-07,2020-06-11,2020-06-14
Los Sauces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,3,2
Lumaco,0,0,0,0,0,1,5,2,1,1,0,0,1,1,0,3,5,3,1,1
Melipeuco,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,4,3,2,1
Nueva Imperial,8,11,11,12,9,8,4,3,2,4,11,9,5,6,3,2,2,9,25,29
Padre Las Casas,19,15,11,20,16,21,12,8,2,1,9,12,18,21,16,17,21,14,4,4
Perquenco,1,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,5,5,8,7
Pitrufquen,4,3,0,1,1,1,0,0,0,0,0,2,7,13,20,23,28,19,16,10
Pucon,1,2,5,2,1,3,2,1,2,1,2,3,2,7,10,16,22,20,13,10
Puren,0,0,0,0,0,0,1,1,1,2,1,1,0,0,1,2,2,0,0,0
Renaico,1,1,0,1,2,2,0,1,6,6,4,3,5,7,4,6,3,3,1,4
Saavedra,0,0,1,6,11,6,13,17,15,18,22,23,22,17,13,10,5,8,5,8
Temuco,150,119,106,113,83,59,38,29,35,48,58,74,60,55,36,32,23,22,21,30
Teodoro Schmidt,1,1,1,0,1,1,0,0,0,0,0,0,2,1,3,4,4,0,0,1
Tolten,3,1,0,0,0,0,0,0,0,0,0,0,0,6,6,5,3,1,0,0
Traiguen,2,1,1,1,1,1,0,0,0,0,1,3,5,5,2,1,4,8,9,9
Victoria,6,1,1,15,39,40,35,25,15,6,4,2,2,5,10,12,19,17,23,32
Vilcun,10,8,6,8,4,2,4,3,6,3,8,10,9,11,19,23,11,10,8,8
Villarrica,5,5,3,1,0,0,1,1,1,2,1,2,1,2,3,9,6,8,7,15
Corral,0,1,1,1,1,0,0,0,1,2,10,9,8,4,2,2,0,5,7,7
Futrono,1,0,0,0,0,0,0,0,0,0,0,2,10,18,21,20,11,13,16,15
La Union,9,6,6,6,5,7,5,6,3,2,1,2,2,2,1,2,5,8,9,15
Lago Ranco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lanco,1,2,2,1,1,1,1,1,3,2,2,0,0,0,0,0,0,1,6,11
Los Lagos,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,21,15,11,14,32
Mafil,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,3,11
Mariquina,6,3,1,0,0,0,0,0,0,2,3,3,4,3,3,3,2,1,1,0
Paillaco,0,0,0,0,0,0,0,0,0,0,0,0,3,20,20,13,5,2,0,0
Panguipulli,1,0,0,1,0,0,0,0,0,0,0,0,2,5,6,6,13,23,16,15
Rio Bueno,4,1,1,1,1,2,4,3,1,1,0,0,1,2,2,3,2,2,1,1
Valdivia,25,21,18,15,8,5,5,10,7,3,2,3,24,29,34,25,23,26,20,22
Ancud,3,3,3,8,5,4,2,6,13,37,34,34,41,25,12,10,2,2,3,7
Calbuco,2,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1
Castro,5,4,3,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
Chaiten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chonchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cochamo,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
